Package,Package Version,arn
crhelper,2.0.11,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-crhelper:1
libgthread-so,1.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-libgthread-so:1
pymongo,4.3.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pymongo:6
PyJWT,2.7.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-PyJWT:4
kafka-python,2.0.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-kafka-python:4
pybit,5.3.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pybit:16
mpld3,0.5.9,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-mpld3:18
pandas,2.0.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pandas:16
praw,7.7.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-praw:14
pysftp,0.2.9,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pysftp:15
flashtext,2.7,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-flashtext:1
google-auth-oauthlib,1.0.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-google-auth-oauthlib:18
boto3,1.26.144,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-boto3:18
simplejson,3.19.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-simplejson:5
black,23.3.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-black:15
jellyfish,0.11.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-jellyfish:2
google-auth,2.19.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-google-auth:16
PyNaCl,1.5.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-PyNaCl:1
pyarrow,8.0.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pyarrow:5
aiohttp,3.8.4,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-aiohttp:10
pulp,2.7.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pulp:1
pyOpenSSL,23.2.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pyOpenSSL:12
PyYAML,6.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-PyYAML:5
dropbox,11.36.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-dropbox:15
itsdangerous,2.1.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-itsdangerous:2
pytesseract,0.3.10,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pytesseract:9
passlib,1.7.4,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-passlib:1
opensearch-py,2.2.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-opensearch-py:12
idna,3.4,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-idna:1
tabulate,0.8.9,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-tabulate:1
ffmpeg-python,0.2.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-ffmpeg-python:1
spacy_model_en_small,2.25,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-spacy_model_en_small:1
pygsheets,2.0.6,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pygsheets:18
opencv-python-headless,4.2.0.34,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-opencv-python-headless:11
PyGithub,1.58.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-PyGithub:4
boltons,23.0.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-boltons:1
aws-lambda-powertools,2.15.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-aws-lambda-powertools:18
langdetect,1.0.9,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-langdetect:2
requests-html,0.10.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-requests-html:16
Pillow,9.5.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-Pillow:7
beautifulsoup4,4.12.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-beautifulsoup4:5
pika,1.3.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pika:4
scipy,1.3.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-scipy:1
nltk,3.8.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-nltk:12
records,0.5.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-records:14
parliament,1.6.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-parliament:17
python-docx,0.8.11,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-python-docx:1
spacy_model_es_small,2.3.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-spacy_model_es_small:1
slackclient,2.9.4,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-slackclient:11
jinja2,3.1.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-jinja2:4
jsonschema,4.17.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-jsonschema:13
elasticsearch,8.8.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-elasticsearch:19
construct,2.10.68,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-construct:1
bcrypt,4.0.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-bcrypt:4
shapely,2.0.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-shapely:8
aws-xray-sdk,2.12.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-aws-xray-sdk:18
